物件名,販売価格,所在地,専有面積,間取り
スカイライトタワー,1億9400万円,東京都中央区佃１-１１－７,92.82m2（28.07坪）（壁芯）,3LDK
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
ザ・パークハウス晴海タワーズ　クロノレジデンス,1億9800万円,東京都中央区晴海２,72.95m2（22.06坪）（壁芯）,3LDK+S（納戸）
THE TOKYO TOWERS SEA TOWER,1億9800万円,東京都中央区勝どき６,90.27m2（27.30坪）,3LDK
THE　TOKYO　TOWERS　MID　TOWER,2億1800万円,東京都中央区勝どき６,91.58m2（壁芯）,2LDK+S（納戸）
ＨＡＲＵＭＩ　ＦＬＡＧ　ＳＵＮ　ＶＩＬＬＡＧＥ　Ｃ棟,2億1800万円,東京都中央区晴海５,92.78m2（28.06坪）（壁芯）,3LDK
HARUMI　FLAG SUN VILLAGE　C棟,2億1800万円,東京都中央区晴海５,92.78m2（28.06坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億2800万円,東京都中央区勝どき４,72.38m2（21.89坪）（壁芯）,3LDK+S（納戸）
パークタワー晴海,2億3500万円,東京都中央区晴海２,70.84m2（21.42坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億3500万円,東京都中央区勝どき４,78.38m2（壁芯）,2LDK
パークタワー晴海,2億3800万円,東京都中央区晴海２,78.95m2（23.88坪）,3LDK
HARUMI　FLAG SUN VILLAGE　C棟,2億3980万円,東京都中央区晴海５,106.57m2（32.23坪）（壁芯）,4LDK
パークタワー勝どきサウス,2億4800万円,東京都中央区勝どき４,72.38m2（21.89坪）（壁芯）,2LDK
パークタワー晴海,2億5800万円,東京都中央区晴海２,88.49m2（26.76坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億5800万円,東京都中央区勝どき４,74.45m2（22.52坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億5800万円,東京都中央区勝どき４,74.45m2（22.52坪）,3LDK
パークタワー勝どきサウス,2億9800万円,東京都中央区勝どき４,87.05m2（26.33坪）（壁芯）,3LDK
パークタワー勝どきサウス,2億9800万円,東京都中央区勝どき４,87.05m2（26.33坪）（壁芯）,3LDK
パークタワー勝どきサウス,3億1800万円,東京都中央区勝どき４,90.6m2（壁芯）,2LDK
晴海フラッグ HARUMI FLAG SEA VIL…,3億1880万円,東京都中央区晴海５,96.21m2（壁芯）,2LDK
【お得なご成約特典がございます！】MID TOWER…,3億4000万円,東京都中央区月島１-22-1,80.32m2（24.29坪）（壁芯）,2LDK
サンパーク東京銀座,1410万円,東京都中央区入船１-２－８,14.56m2（4.40坪）（壁芯）,ワンルーム
カーサ相生,1600万円,東京都中央区佃２-２２－６,24.3m2（7.35坪）（壁芯）,1DK
月島ハイツ,2110万円,東京都中央区月島４,28m2（8.46坪）（壁芯）,1K
ライオンズマンション東銀座,2180万円,東京都中央区築地４,21.07m2（登記）,1K
シャルマン築地明石町,2210万円,東京都中央区明石町5-13,20.38m2（壁芯）,1K
シャルマン築地明石町,2250万円,東京都中央区明石町,20.38m2（壁芯）,1K
シャルマン築地明石町,2250万円,東京都中央区明石町5-13,20.38m2（6.16坪）,1K
シャルマン築地明石町,2290万円,東京都中央区明石町5-13,20.38m2（6.16坪）（壁芯）,1K
ライオンズマンション日本橋第2,2290万円,東京都中央区日本橋蛎殻町１-３７－９,22.73m2（6.87坪）（壁芯）,1K
ライオンズマンション日本橋第２,2290万円,東京都中央区日本橋蛎殻町１-37-9,22.73m2（壁芯）,1K
朝日八丁堀マンション,2300万円,東京都中央区入船１,28.55m2（壁芯）,ワンルーム
銀座ダイヤハイツ,2380万円,東京都中央区銀座８,16.02m2（4.84坪）（壁芯）,ワンルーム
月島マンション,2380万円,東京都中央区月島３,29.18m2（壁芯）,1LDK
セブンスターマンション日本橋浜町,2380万円,東京都中央区日本橋浜町１,39.15m2（壁芯）,1LDK
月島ハイツ,2480万円,東京都中央区月島４,28m2（8.46坪）（壁芯）,ワンルーム
セブンスターマンション日本橋浜町　 5階,2480万円,東京都中央区日本橋１-１－２,36.68m2,1DK
トダカ佃コーポ,2499万円,東京都中央区佃２,31.53m2（壁芯）,1LDK
トダカ佃コーポ,2499万円,東京都中央区佃２,31.53m2,1LDK
トダカ佃コーポ,2499万円,東京都中央区佃２-18-4,31.53m2（壁芯）,ワンルーム
トダカ佃コーポ,2499万円,東京都中央区佃２,31.53m2（9.53坪）（壁芯）,1LDK
トダカ佃コーポ,2499万円,東京都中央区佃２-18-4,31.53m2（9.53坪）（壁芯）,ワンルーム
【当社売主／フルリノベ】月島ハイツ,2580万円,東京都中央区月島４,28m2（壁芯）,1K
ライオンズマンション日本橋第二,2680万円,東京都中央区日本橋蛎殻町１-37-9,19.11m2（壁芯）,1K
日本橋センチュリープラザ,2700万円,東京都中央区日本橋人形町３-7-13,25.32m2（壁芯）,ワンルーム
ガラ・ステージ日本橋,2850万円,東京都中央区日本橋蛎殻町２,26.14m2（7.90坪）（壁芯）,1K
フジタ横山町マンション,2880万円,東京都中央区日本橋横山町7-17,33.05m2（壁芯）,ワンルーム
フジタ横山町マンション,2880万円,東京都中央区日本橋横山町7-17,33.05m2（9.99坪）（壁芯）,ワンルーム
セントラル東銀座,2900万円,東京都中央区築地２,22.46m2（6.79坪）,1K
ローズハイツ日本橋浜町,2930万円,東京都中央区日本橋浜町３,28.57m2（壁芯）,ワンルーム
ナビウス東日本橋Ⅰ番館,2990万円,東京都中央区東日本橋１,22.34m2（6.75坪）（壁芯）,ワンルーム
佃スカイハイツ,3100万円,東京都中央区佃２,36.54m2（11.05坪）（壁芯）,ワンルーム
越前堀永谷マンション,3150万円,東京都中央区新川１,35.92m2（壁芯）,1LDK
プラージュ月島,3260万円,東京都中央区佃３,21.89m2（6.62坪）（壁芯）,1K
ラポール茅場町三恵ビル,3270万円,東京都中央区日本橋茅場町２,29.07m2（壁芯）,1DK
ファミール日本橋グランスイートプラザ,3380万円,東京都中央区日本橋堀留町２,22.68m2（6.86坪）（壁芯）,1K
アペニンハイム,3380万円,東京都中央区勝どき３-4-18,35.91m2（壁芯）,1LDK
アペニンハイム,3380万円,東京都中央区勝どき３,35.91m2（壁芯）,1LDK
越前堀永谷マンション,3399万円,東京都中央区新川１,40.67m2（壁芯）,1LDK
明石町アビタシオンオオタ,3500万円,東京都中央区明石町,36.89m2（11.15坪）（壁芯）,1LDK
デュオスカーラ東日本橋,3580万円,東京都中央区日本橋馬喰町１,30m2（9.07坪）（壁芯）,ワンルーム
秀和日本橋箱崎レジデンス,3600万円,東京都中央区日本橋箱崎町,38.84m2,1LDK
中銀築地マンシオン,3680万円,東京都中央区築地７,32.95m2（壁芯）,2DK
シャンボール築地,3680万円,東京都中央区勝どき３,44.44m2（壁芯）,1LDK
パークリュクス日本橋小網町ｍｏｎｏ,3780万円,東京都中央区日本橋小網町,25.44m2（7.69坪）（壁芯）,1K
ウェルシャン築地,3780万円,東京都中央区湊３,45.09m2（13.63坪）（壁芯）,1LDK
ウェルシャン築地,3780万円,東京都中央区湊３,45.09m2（13.63坪）（壁芯）,1LDK
ワコー東日本橋マンション,3980万円,東京都中央区日本橋浜町１,40.5m2（壁芯）,1LDK
スターコート日本橋,3980万円,東京都中央区日本橋小網町,46.77m2（壁芯）,2K
スターコート日本橋,3980万円,東京都中央区日本橋小網町3-18,46.77m2（14.14坪）（壁芯）,2K
ファミール日本橋浜町公園,3980万円,東京都中央区日本橋浜町２,29.41m2（壁芯）,1K
サントル銀座四丁目,3980万円,東京都中央区銀座４,22.96m2（壁芯）,ワンルーム
トダカ勝どきコーポ,3980万円,東京都中央区勝どき４,43.74m2（壁芯）,2DK
浜町グランドハイツ,3990万円,東京都中央区日本橋中洲1-5,36m2（10.88坪）,1K+S（納戸）
ニックハイム茅場町,3990万円,東京都中央区新川１,38.88m2（11.76坪）（壁芯）,1LDK
浜町グランドハイツ,3990万円,東京都中央区日本橋中洲,36m2（10.88坪）（壁芯）,1K+S（納戸）
浜町グランドハイツ,3990万円,東京都中央区日本橋中洲1-5,36m2（10.88坪）（壁芯）,1K+S（納戸）
浜町グランドハイツ,3990万円,東京都中央区日本橋中洲,36m2（壁芯）,1K+S（納戸）
浜町グランドハイツ,3990万円,東京都中央区日本橋中洲,36m2（10.88坪）（壁芯）,1K+S（納戸）
浜町グランドハイツ,3990万円,東京都中央区日本橋中洲,36m2（壁芯）,1K+S（納戸）
パレ・ドール日本橋,4080万円,東京都中央区日本橋堀留町１-6-3,39.4m2（11.91坪）（壁芯）,1LDK
パレ・ドール日本橋,4080万円,東京都中央区日本橋堀留町１-6-3,39.4m2（11.91坪）（壁芯）,1LDK
パレ・ドール日本橋,4080万円,東京都中央区日本橋堀留町１-6-3,39.4m2（11.91坪）（壁芯）,1LDK
パレ・ドール日本橋,4080万円,東京都中央区日本橋堀留町１-6-3,39.4m2（11.91坪）（壁芯）,1LDK
パレ・ドール日本橋,4080万円,東京都中央区日本橋堀留町１,39.4m2（11.91坪）（壁芯）,1LDK
サンパーク東京銀座,4199万円,東京都中央区入船１-2-8,39.6m2（11.97坪）（壁芯）,1LDK
サンパーク東京銀座,4199万円,東京都中央区入船１,39.6m2（壁芯）,1LDK
サンパーク東京銀座,4199万円,東京都中央区入船１-2-8,39.6m2（11.97坪）（壁芯）,1LDK
サンパーク東京銀座,4199万円,東京都中央区入船１,39.6m2,1LDK
サンパーク東京銀座,4199万円,東京都中央区入船１-2-8,39.6m2（11.97坪）（壁芯）,1LDK
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１-3-7,42.74m2（12.92坪）,1LDK
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１,42.74m2（壁芯）,1LDK
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１-10-8,42.74m2（12.92坪）（壁芯）,1LDK
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１,25.08m2（壁芯）,1LDK
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１,42.74m2（壁芯）,1LDK
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１-10-8,42.74m2（12.92坪）（壁芯）,1LDK
ワコー東日本橋マンション,4250万円,東京都中央区日本橋浜町１,42.74m2（12.92坪）（壁芯）,1LDK
月島マンション,4280万円,東京都中央区月島３,38.06m2（壁芯）,ワンルーム
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町13-8,43.82m2（13.25坪）（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町１３-８,43.82m2（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町13-8,43.82m2（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（13.25坪）（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町13,43.82m2（13.25坪）（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2,1LDK
中銀新川マンシオン,4480万円,東京都中央区新川２,40m2（壁芯）,2DK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（13.25坪）（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町13,43.82m2（13.25坪）（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（13.25坪）（壁芯）,1LDK
箱崎ダイヤマンション,4480万円,東京都中央区日本橋箱崎町,43.82m2（壁芯）,1LDK
カルム築地,4500万円,東京都中央区築地２,38.36m2（11.60坪）（壁芯）,1K
サントル銀座四丁目,4500万円,東京都中央区銀座４,32.51m2（9.83坪）（壁芯）,1K
マック銀座ビル,4580万円,東京都中央区銀座１,22.4m2（6.77坪）（壁芯）,ワンルーム
リレント日本橋,4580万円,東京都中央区日本橋馬喰町１,41.85m2（12.65坪）,ワンルーム
ライオンズマンション茅場町,4680万円,東京都中央区新川１-24-7,46.05m2（13.93坪）（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１-24-7,46.05m2（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１-24-7,46.05m2（13.93坪）（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１-24-7,46.05m2（13.93坪）（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１,46.05m2（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１,46.05m2（13.93坪）（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１-24-7,46.05m2（壁芯）,1LDK
ライオンズマンション茅場町,4680万円,東京都中央区新川１,46.05m2（13.93坪）（壁芯）,1DK
オーベルジュ日本橋,4690万円,東京都中央区日本橋中洲,30.52m2（壁芯）,1K
横山町ダイカンプラザ,4780万円,東京都中央区日本橋横山町,45.27m2（13.69坪）（壁芯）,1LDK
グリーンパーク東日本橋レジデンスⅡ,4980万円,東京都中央区東日本橋１,40.33m2（壁芯）,1LDK
明石町ツインクロス,4980万円,東京都中央区明石町,37.23m2（11.26坪）（壁芯）,1LDK
シティハウス日本橋,4980万円,東京都中央区新川１,33.6m2（壁芯）,ワンルーム
アペニンハイム,5080万円,東京都中央区勝どき３,56.7m2（壁芯）,2LDK
アペニンハイム,5080万円,東京都中央区勝どき３-4-18,56.7m2（17.15坪）（壁芯）,2LDK
アペニンハイム,5080万円,東京都中央区勝どき３,56.7m2（壁芯）,2LDK
アペニンハイム,5080万円,東京都中央区勝どき３,56.7m2（壁芯）,2LDK
アペニンハイム,5080万円,東京都中央区勝どき３,56.7m2,2LDK
晴海テラス,5180万円,東京都中央区晴海５,40m2（12.09坪）（壁芯）,1LDK
秀和新川レジデンス,5299万円,東京都中央区新川２,39.87m2（壁芯）,1LDK
秀和新川レジデンス,5299万円,東京都中央区新川２-31-11,39.87m2（12.06坪）（壁芯）,2DK
秀和新川レジデンス,5299万円,東京都中央区新川２,39.87m2（壁芯）,2DK
晴海テラス,5380万円,東京都中央区晴海５,40m2（12.09坪）（壁芯）,1LDK
ハイツ水天宮前,5480万円,東京都中央区日本橋蛎殻町１-39-7,58.19m2（壁芯）,1LDK
シティフロントタワー,5499万円,東京都中央区佃１,40.02m2（壁芯）,1DK
ザ・クレストタワー,5580万円,東京都中央区佃２,36.77m2（壁芯）,1K
ニックハイム日本橋,5690万円,東京都中央区日本橋中洲,61.56m2（壁芯）,3DK
ドルチェ日本橋浜町・弐番館,5780万円,東京都中央区日本橋浜町３,40.47m2（壁芯）,1LDK
ジオ勝どき,5800万円,東京都中央区勝どき３,38.34m2（壁芯）,1DK
サンウッド東日本橋フラッツ,5890万円,東京都中央区日本橋横山町,37.51m2（11.34坪）（壁芯）,1LDK
サンウッド東日本橋フラッツ,5890万円,東京都中央区日本橋横山町,37.51m2,1LDK
サンウッド東日本橋フラッツ,5890万円,東京都中央区日本橋横山町,37.51m2（11.34坪）（壁芯）,1LDK
ライジングプレイス月島,5980万円,東京都中央区月島４,40m2（12.09坪）（壁芯）,1LDK
ニックハイム日本橋,5980万円,東京都中央区日本橋中洲,61.56m2（18.62坪）（壁芯）,3DK
グレース中の橋,5980万円,東京都中央区日本橋蛎殻町２,57.7m2（17.45坪）（壁芯）,3DK
ファミール日本橋グランスイートプラザ,6150万円,東京都中央区日本橋堀留町２,42.57m2（壁芯）,1K
オープンレジデンシア日本橋横山町,6180万円,東京都中央区日本橋横山町,40.74m2（壁芯）,1LDK
ステージグランデ新川,6180万円,東京都中央区新川２-19-8,42.69m2（12.91坪）（壁芯）,1LDK
グレーシア勝どき,6300万円,東京都中央区勝どき４,40.72m2（12.31坪）（壁芯）,1LDK
パロス新富町,6480万円,東京都中央区新富１,51.77m2,1LDK
アスコットパーク日本橋浜町アルテ,6480万円,東京都中央区日本橋浜町２,40.02m2（12.10坪）（壁芯）,ワンルーム
ライオンズシティ東京タイムズプレイス,6480万円,東京都中央区新川２,44.64m2（13.50坪）（壁芯）,1LDK
クレヴィア日本橋,6490万円,東京都中央区日本橋蛎殻町１,46.59m2（壁芯）,3K
グレース中の橋,6490万円,東京都中央区日本橋蛎殻町２-14-2,57.7m2（17.45坪）（壁芯）,3DK
クレヴィア日本橋,6490万円,東京都中央区日本橋蛎殻町１,34.65m2（10.48坪）（壁芯）,1LDK
藤和八丁堀コープ,6500万円,東京都中央区湊１,61.51m2（壁芯）,2LDK
クレヴィア日本橋,6580万円,東京都中央区日本橋蛎殻町１,34.65m2（10.48坪）（壁芯）,1LDK
セザールベイサイド勝どき,6599万円,東京都中央区勝どき３-3-12,43.64m2（13.20坪）,1LDK
セザールベイサイド勝どき,6599万円,東京都中央区勝どき３,43.64m2（壁芯）,1LDK
セザールベイサイド勝どき,6599万円,東京都中央区勝どき３,43.64m2（壁芯）,1LDK
セザールベイサイド勝どき,6599万円,東京都中央区勝どき３,43.64m2（13.20坪）（壁芯）,1LDK
ライオンズシティ東京タイムズプレイス,6680万円,東京都中央区新川２,42.77m2（壁芯）,1LDK
リビオ人形町日本橋浜町グリーンテラス,6680万円,東京都中央区日本橋浜町２,46.37m2（壁芯）,1LDK
オープンレジデンシア日本橋横山町,6750万円,東京都中央区日本橋横山町,40.88m2（12.36坪）（壁芯）,1LDK
Ｂｒｉｌｌｉａ銀座ｉｄ,6780万円,東京都中央区銀座２,30.2m2（壁芯）,ワンルーム
エスタシオン月島,6880万円,東京都中央区佃３,55.48m2（16.78坪）（壁芯）,1LDK
ドゥ・トゥールEAST【DEUX TOURS】,6880万円,東京都中央区晴海３,33.72m2（壁芯）,ワンルーム
エスタシオン月島,6880万円,東京都中央区佃３-11-17,55.48m2,1LDK
エスタシオン月島,6880万円,東京都中央区佃３,55.48m2（16.78坪）（壁芯）,1LDK
藤和八丁堀コープII,6880万円,東京都中央区湊１,65.74m2（19.88坪）（壁芯）,2LDK
明石町アビタシオン,6980万円,東京都中央区明石町,62.51m2（壁芯）,1LDK+S（納戸）
光建ハイムブリリアンス日本橋浜町五番館,6980万円,東京都中央区日本橋浜町２,57.87m2（壁芯）,2LDK
レックス勝どきプレミアレジデンス,6980万円,東京都中央区勝どき４,44.66m2（13.50坪）（壁芯）,1LDK
パレソレイユ日本橋三越前,7200万円,東京都中央区日本橋本町１,43.34m2（13.11坪）（壁芯）,1LDK
パレ・ソレイユ日本橋三越前,7200万円,東京都中央区日本橋本町１,43.34m2（壁芯）,1LDK
パレ・ソレイユ日本橋三越前,7200万円,東京都中央区日本橋本町１-8-10,43.34m2（13.11坪）（壁芯）,1LDK
パレ・ソレイユ日本橋三越前,7200万円,東京都中央区日本橋本町１,43.34m2（13.11坪）（壁芯）,1LDK
プレジール日本橋人形町　2LDK◇内見可能◇,7250万円,東京都中央区日本橋人形町２,52.67m2（壁芯）,2LDK
グランシティ日本橋水天宮,7398万円,東京都中央区日本橋中洲,43.52m2（壁芯）,2LDK
シティハウス月島駅前キャピタルコート,7480万円,東京都中央区佃３,45.44m2（13.74坪）（壁芯）,1LDK
グリーンパーク八丁堀桜川公園,7780万円,東京都中央区八丁堀４,52.28m2（壁芯）,2LDK
マイキャッスル水天宮前壱番館,7800万円,東京都中央区日本橋蛎殻町２,53.77m2（16.26坪）（登記）,1LDK+S（納戸）
ブランズ日本橋茅場町,7800万円,東京都中央区日本橋茅場町３,40.18m2（12.15坪）（壁芯）,1LDK
コンポジット日本橋,7850万円,東京都中央区日本橋堀留町２,52.03m2（15.73坪）（壁芯）,1LDK
ファミール銀座イースト,7980万円,東京都中央区築地２,46.17m2（13.96坪）（壁芯）,1LDK
ブランズ明石町,7990万円,東京都中央区明石町,40.11m2（壁芯）,1LDK
ブランズ明石町,7990万円,東京都中央区明石町7-20,40.11m2（12.13坪）（壁芯）,1LDK
ブランズ明石町,7990万円,東京都中央区明石町7-20,40.11m2（12.13坪）（壁芯）,1LDK
東京月島ガーデンハウス,7990万円,東京都中央区佃２,59.2m2（17.90坪）（壁芯）,2LDK
サンクタス127,8000万円,東京都中央区新川１,52.94m2（壁芯）,2LDK
グリーンパーク銀座デ・プレ,8280万円,東京都中央区築地２,55.29m2（16.72坪）（壁芯）,1LDK
レグノ・ヴェール明石町,8280万円,東京都中央区明石町,55.46m2（16.77坪）（壁芯）,2LDK
グリーンパーク銀座デ・プレ,8280万円,東京都中央区築地２-11-12,55.29m2（16.72坪）（壁芯）,1LDK
グリーンパーク銀座デプレ,8280万円,東京都中央区築地２,55.29m2（16.72坪）（壁芯）,1LDK
グリーンパーク銀座デプレ,8280万円,東京都中央区築地２,55.29m2（16.72坪）（壁芯）,1LDK
Garden Terrace GINZA EAST,8300万円,東京都中央区築地７,45.16m2（壁芯）,2LDK
シティフロントタワー,8300万円,東京都中央区佃１,60.28m2（18.23坪）（壁芯）,1LDK
パークリュクス銀座mono,8300万円,東京都中央区銀座８-１８－７,30.86m2（壁芯）,1LDK
勝どきザ・タワー,8380万円,東京都中央区勝どき５,42.04m2,1LDK
勝どきザ・タワー,8380万円,東京都中央区勝どき５,42.04m2（12.71坪）（壁芯）,1LDK
勝どきザ・タワー,8380万円,東京都中央区勝どき５,42.04m2（12.71坪）（壁芯）,1LDK
エフローレ日本橋,8380万円,東京都中央区日本橋大伝馬町,51.95m2（15.71坪）（壁芯）,1LDK+S（納戸）
勝どきザ・タワー,8380万円,東京都中央区勝どき５,42.04m2（壁芯）,1LDK
クレストシティレジデンス,8480万円,東京都中央区勝どき５,60.38m2（壁芯）,2LDK
トーア新富マンション,8480万円,東京都中央区新富１,77.2m2（23.35坪）（登記）,3LDK+S（納戸）
シティハウス東京八重洲通り,8480万円,東京都中央区新川２,40m2（12.09坪）（壁芯）,1LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲,65.78m2（壁芯）,3LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲,65.78m2（壁芯）,3LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲1-5,65.78m2（19.89坪）（壁芯）,3LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲,65.78m2,3LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲,65.78m2（19.89坪）（壁芯）,3LDK
浜町グランドハイツ,8499万円,東京都中央区日本橋中洲１-５,65.78m2（壁芯）,3LDK
グレーシア勝どき,8600万円,東京都中央区勝どき４,52.4m2（壁芯）,2LDK+S（納戸）
勝どきザ・タワー,8600万円,東京都中央区勝どき５,47.79m2（壁芯）,1LDK
勝どきザ・タワー,8600万円,東京都中央区勝どき５,47.79m2（14.45坪）（壁芯）,1LDK
勝どきザ・タワー,8600万円,東京都中央区勝どき５,47.79m2（壁芯）,1LDK
勝どきザ・タワー,8680万円,東京都中央区勝どき５,49.95m2（壁芯）,1LDK
セザールリバーサイド中洲,8680万円,東京都中央区日本橋中洲,66.35m2（壁芯）,2LDK+S（納戸）
サンクタス築地,8680万円,東京都中央区築地７-13-7,44.24m2（13.38坪）（壁芯）,1LDK
サンクタス築地,8680万円,東京都中央区築地７,44.24m2（13.38坪）（壁芯）,1LDK
サンクタス築地,8680万円,東京都中央区築地７,44.24m2,1LDK
サンクタス築地,8680万円,東京都中央区築地７,44.24m2（壁芯）,1LDK
パークタワー勝どきミッド,8780万円,東京都中央区勝どき４,30.07m2（壁芯）,1DK
MID TOWER GRAND,8880万円,東京都中央区月島１-２２－１,42.32m2（12.80坪）（壁芯）,1LDK
ピアース東京インプレイス,8880万円,東京都中央区新川２,61.83m2（壁芯）,2LDK
クレイス月島キャナルフロント,8980万円,東京都中央区月島２,61.23m2（壁芯）,1LDK+S（納戸）
クレイス月島キャナルフロント,8980万円,東京都中央区月島２,61.23m2（18.52坪）（壁芯）,1LDK+S（納戸）
クレイス月島キャナルフロント,8980万円,東京都中央区月島２,61.23m2（18.52坪）（壁芯）,1LDK+S（納戸）
コンパートメント東京中央,8980万円,東京都中央区八丁堀３,60.96m2（壁芯）,1LDK+S（納戸）
日本橋三越前アムフラット壱番館,8980万円,東京都中央区日本橋小舟町8-14,51.3m2（15.51坪）（壁芯）,1LDK
